feature,mean_abs_shap
temperature_2m_max_d3_wmean,0.0
temperature_2m_max_d3_wanom_Lag1,0.0
defo_rate_150m_Lag2,0.0
defo_rate_150m_Lag4,0.0
sm_std_d1_wtrend,0.0
price_palmoil_wanom_Lag1,0.0
price_gold_wanom_Lag2,0.0
price_gold_wanom_Lag3,0.0
price_gold_wanom_Lag4,0.0
price_gold_d1_wmean,0.0
price_gold_d1_wtrend,0.0
price_gold_d1_wanom_Lag1,0.0
price_gold_d1_wanom_Lag2,0.0
price_gold_d1_wanom_Lag3,0.0
price_gold_d1_wanom_Lag4,0.0
price_gold_d3_wmean,0.0
price_gold_d3_wanom_Lag1,0.0
price_gold_d3_wanom_Lag2,0.0
price_palmoil_wmean,0.0
price_palmoil_wtrend,0.0
price_palmoil_wanom_Lag2,0.0
defo_rate_150m_d1_Lag2,0.0
price_palmoil_wanom_Lag3,0.0
price_palmoil_wanom_Lag4,0.0
price_palmoil_d1_wmean,0.0
pop_d1_wanom_Lag4,0.0
price_palmoil_d1_wanom_Lag1,0.0
price_palmoil_d1_wanom_Lag2,0.0
price_palmoil_d1_wanom_Lag3,0.0
price_palmoil_d1_wanom_Lag4,0.0
price_palmoil_d3_wmean,0.0
price_palmoil_d3_wanom_Lag1,0.0
price_palmoil_d3_wanom_Lag2,0.0
defo_rate_150m_d1_Lag3,0.0
sm_std_wtrend,0.0
sm_std_wanom_Lag1,0.0
defo_rate_500m_d1_Lag1,0.0
hot_days_d1_Lag2,0.0
defo_rate_500m_d1_Lag2,0.0
price_cocoa_Lag2,0.0
price_palmoil_Lag2,0.0
price_palmoil_Lag1,0.0
country_COD,0.0
price_gold_d3_Lag2,0.0
price_gold_d3_Lag1,0.0
price_gold_d1_Lag4,0.0
price_gold_d1_Lag3,0.0
price_gold_d1_Lag2,0.0
price_gold_d1_Lag1,0.0
price_gold_Lag4,0.0
price_gold_Lag3,0.0
price_gold_Lag2,0.0
price_gold_Lag1,0.0
defo_rate_5000m_d3_wanom_Lag1,0.0
price_cocoa_d3_Lag2,0.0
defo_rate_500m_wtrend,0.0
price_cocoa_d3_Lag1,0.0
price_cocoa_d1_Lag4,0.0
defo_rate_500m_d1_wtrend,0.0
price_cocoa_d1_Lag3,0.0
defo_rate_500m_d1_wanom_Lag2,0.0
defo_rate_500m_d1_wanom_Lag3,0.0
defo_rate_500m_d1_wanom_Lag4,0.0
price_cocoa_d1_Lag2,0.0
price_cocoa_d1_Lag1,0.0
price_cocoa_Lag4,0.0
price_cocoa_Lag3,0.0
dry_days_wtrend,0.0
dry_days_wanom_Lag3,0.0
price_palmoil_Lag3,0.0
price_palmoil_Lag4,0.0
price_palmoil_d1_Lag1,0.0
cum_deforested_d1_wanom_Lag3,0.0
temperature_2m_max_d1_Lag2,0.0
temperature_2m_max_d1_Lag3,0.0
temperature_2m_max_d1_Lag4,0.0
temperature_2m_max_d3_Lag2,0.0
sm_surface_d1_Lag4,0.0
cum_deforested_wtrend,0.0
cum_deforested_wanom_Lag1,0.0
cum_deforested_wanom_Lag2,0.0
cum_deforested_wanom_Lag3,0.0
cum_deforested_wanom_Lag4,0.0
cum_deforested_d1_wtrend,0.0
cum_deforested_d1_wanom_Lag1,0.0
cum_deforested_d1_wanom_Lag2,0.0
cum_deforested_d1_wanom_Lag4,0.0
defo_rate_150m_d1_wtrend,0.0
cum_deforested_d3_wmean,0.0
cum_deforested_d3_wanom_Lag1,0.0
cum_deforested_d3_wanom_Lag2,0.0
defo_rate_1500m_wanom_Lag3,0.0
defo_rate_1500m_d1_wtrend,0.0
sm_std_Lag3,0.0
defo_rate_1500m_d3_wanom_Lag1,0.0
defo_rate_1500m_d3_wanom_Lag2,0.0
price_palmoil_d3_Lag2,0.0
price_palmoil_d3_Lag1,0.0
price_palmoil_d1_Lag4,0.0
price_palmoil_d1_Lag3,0.0
price_palmoil_d1_Lag2,0.0
dry_days_wanom_Lag4,0.0
dry_days_d1_wtrend,0.0
defo_rate_500m_d1_Lag3,0.0
dry_days_d1_wanom_Lag4,0.0
ntl_max_wanom_Lag4,0.0
ntl_max_d1_wanom_Lag1,0.0
iucn_not_reported,0.0
iucn_moderate,0.0
in_protected,0.0
ntl_max_d3_wmean,0.0
hot_days_d3_Lag1,0.0
ntl_mean_wmean,0.0
temperature_2m_max_Lag2,0.0
hot_days_Lag3,0.0
ntl_mean_wanom_Lag4,0.0
extreme_rain_days_d1_Lag4,0.0
ntl_mean_d1_wanom_Lag1,0.0
ntl_mean_d1_wanom_Lag3,0.0
extreme_rain_days_d1_Lag3,0.0
ntl_mean_d3_wanom_Lag1,0.0
ntl_mean_d3_wanom_Lag2,0.0
ntl_std_wmean,0.0
extreme_rain_days_Lag4,0.0
ntl_std_wanom_Lag3,0.0
extreme_rain_days_Lag3,0.0
ntl_std_d1_wtrend,0.0
ntl_std_d1_wanom_Lag2,0.0
defo_rate_500m_d3_Lag2,0.0
ntl_std_d3_wanom_Lag2,0.0
defo_rate_500m_d3_Lag1,0.0
pop_wanom_Lag3,0.0
pop_wanom_Lag4,0.0
pop_d1_wmean,0.0
iucn_sustainable,0.0
ntl_cv_d3_wanom_Lag2,0.0
ntl_cv_d3_wanom_Lag1,0.0
pa_pressure_ring,0.0
price_cocoa_Lag1,0.0
precip_total_Lag4,0.0
precip_mean_d1_Lag3,0.0
et_d3_wanom_Lag1,0.0
et_d3_wanom_Lag2,0.0
pop_d1_Lag4,0.0
extreme_rain_days_wtrend,0.0
extreme_rain_days_wanom_Lag3,0.0
extreme_rain_days_wanom_Lag4,0.0
extreme_rain_days_d1_wmean,0.0
extreme_rain_days_d1_wtrend,0.0
extreme_rain_days_d1_wanom_Lag3,0.0
extreme_rain_days_d1_wanom_Lag4,0.0
hot_days_wtrend,0.0
ntl_cv_wanom_Lag4,0.0
ntl_std_d3_Lag2,0.0
ntl_std_d3_Lag1,0.0
ntl_std_d1_Lag4,0.0
ntl_std_d1_Lag2,0.0
ntl_std_Lag3,0.0
ntl_mean_d1_Lag4,0.0
ntl_mean_d1_Lag1,0.0
hot_days_d3_wmean,0.0
ntl_mean_Lag3,0.0
ntl_max_d3_Lag1,0.0
ntl_max_Lag4,0.0
ntl_max_Lag1,0.0
ntl_cv_wanom_Lag2,0.0
country_CAF,0.0
